owner,name,stars
codecrafters-io,build-your-own-x,519888
sindresorhus,awesome,478981
freeCodeCamp,freeCodeCamp,450576
public-apis,public-apis,444351
EbookFoundation,free-programming-books,390828
openclaw,openclaw,380566
nilbuild,developer-roadmap,358372
donnemartin,system-design-primer,354972
jwasham,coding-interview-university,353998
vinta,awesome-python,304919
awesome-selfhosted,awesome-selfhosted,301257
996icu,996.ICU,276324
practical-tutorials,project-based-learning,270991
react,react,246143
obra,superpowers,239265
torvalds,linux,237646
trimstray,the-book-of-secret-knowledge,230342
TheAlgorithms,Python,222219
affaan-m,ECC,222050
vuejs,vue,209991
ossu,computer-science,205274
NousResearch,hermes-agent,203602
trekhleb,javascript-algorithms,196146
tensorflow,tensorflow,195941
ultraworkers,claw-code,194338
n8n-io,n8n,194157
ohmyzsh,ohmyzsh,188293
microsoft,vscode,186829
Significant-Gravitas,AutoGPT,185157
CyC2018,CS-Notes,184625
getify,You-Dont-Know-JS,184544
jackfrued,Python-100-Days,183719
multica-ai,andrej-karpathy-skills,182690
massgravel,Microsoft-Activation-Scripts,180840
DigitalPlatDev,FreeDomain,180723
anomalyco,opencode,179086
flutter,flutter,177572
avelino,awesome-go,176439
ollama,ollama,174928
github,gitignore,174627
twbs,bootstrap,174400
yt-dlp,yt-dlp,173499
f,prompts.chat,164382
AUTOMATIC1111,stable-diffusion-webui,163892
521xueweihan,HelloGitHub,162802
huggingface,transformers,161943
jlevy,the-art-of-command-line,161440
microsoft,markitdown,159433
Snailclimb,JavaGuide,156632
anthropics,skills,155484
langflow-ai,langflow,150112
airbnb,javascript,148090
mattpocock,skills,147181
langgenius,dify,146658
Genymobile,scrcpy,144405
open-webui,open-webui,143105
x1xhlol,system-prompts-and-models-of-ai-tools,141204
ytdl-org,youtube-dl,140607
yangshun,tech-interview-handbook,140469
langchain-ai,langchain,140283
vercel,next.js,140247
firecrawl,firecrawl,139511
microsoft,PowerToys,135548
golang,go,134965
labuladong,fucking-algorithm,134555
anthropics,claude-code,134541
iptv-org,iptv,128620
Chalarangelo,30-seconds-of-code,128208
clash-verge-rev,clash-verge-rev,128080
krahets,hello-algo,127953
excalidraw,excalidraw,126259
react,react-native,126096
ripienaar,free-for-dev,123584
kubernetes,kubernetes,123330
electron,electron,121782
Comfy-Org,ComfyUI,118415
ggml-org,llama.cpp,118249
nodejs,node,118011
shadcn-ui,ui,117489
justjavac,free-programming-books-zh_CN,117185
rustdesk,rustdesk,117022
garrytan,gstack,116379
msitarzewski,agency-agents,115965
Shubhamsaboo,awesome-llm-apps,115703
github,spec-kit,115653
Hack-with-Github,Awesome-Hacking,115105
rust-lang,rust,114213
mrdoob,three.js,113331
godotengine,godot,113144
d3,d3,113135
microsoft,generative-ai-for-beginners,112325
2dust,v2rayN,109967
microsoft,TypeScript,109402
axios,axios,109120
farion1231,cc-switch,108938
GrowingGit,GitHub-Chinese-Top-Charts,108571
tauri-apps,tauri,108377
fatedier,frp,107573
papers-we-love,papers-we-love,107357
denoland,deno,107328
