repo,owner,name,treatment,repetition,order_index,timestamp,status_code,ok,elapsed_ms,size_bytes,error
freeCodeCamp/freeCodeCamp,freeCodeCamp,freeCodeCamp,GraphQL,4,1,2026-06-26T15:30:00.986813+00:00,200,True,730.4556999997658,510,
Comfy-Org/ComfyUI,Comfy-Org,ComfyUI,GraphQL,1,2,2026-06-26T15:30:02.058985+00:00,200,True,759.9223000001984,474,
justjavac/free-programming-books-zh_CN,justjavac,free-programming-books-zh_CN,GraphQL,4,3,2026-06-26T15:30:03.124222+00:00,200,True,708.7752999996155,444,
mattpocock/skills,mattpocock,skills,GraphQL,5,4,2026-06-26T15:30:04.330194+00:00,200,True,777.4256000002424,415,
Hack-with-Github/Awesome-Hacking,Hack-with-Github,Awesome-Hacking,REST,3,5,2026-06-26T15:30:05.376149+00:00,200,True,675.4817000000912,7310,
fatedier/frp,fatedier,frp,GraphQL,1,6,2026-06-26T15:30:06.580622+00:00,200,True,713.8915000000452,448,
avelino/awesome-go,avelino,awesome-go,GraphQL,3,7,2026-06-26T15:30:07.727572+00:00,200,True,679.808200000025,415,
flutter/flutter,flutter,flutter,GraphQL,3,8,2026-06-26T15:30:08.643358+00:00,200,True,679.2044999997415,464,
ggml-org/llama.cpp,ggml-org,llama.cpp,GraphQL,2,9,2026-06-26T15:30:09.573713+00:00,200,True,680.1261000000522,377,
ultraworkers/claw-code,ultraworkers,claw-code,GraphQL,2,10,2026-06-26T15:30:10.707973+00:00,200,True,695.2947999998287,489,
airbnb/javascript,airbnb,javascript,GraphQL,5,11,2026-06-26T15:30:11.870062+00:00,200,True,693.7399999997069,384,
microsoft/PowerToys,microsoft,PowerToys,GraphQL,2,12,2026-06-26T15:30:12.885094+00:00,200,True,763.7669000000642,460,
react/react,react,react,REST,3,13,2026-06-26T15:30:13.975025+00:00,200,True,706.5268000001197,6013,
fatedier/frp,fatedier,frp,REST,3,14,2026-06-26T15:30:14.986527+00:00,200,True,646.322400000372,5187,
